Tag;Description;HTML5;Deprecated;Parent;DOM class;Aditional attr methods;;;
a;Defines a hyperlink;-;-;Container;HTMLAnchorElement;href-string;;;
abbr;Defines an abbreviation;-;-;Container;HTMLElement;;;;
acronym;Not supported in HTML5. Use abbr instead. Defines an acronym;-;+;Container;HTMLElement;;;;
address;Defines contact information for the author/owner of a document;-;-;Container;HTMLElement;;;;
applet;Not supported in HTML5. Use object instead.Defines an embedded applet;-;+;Container;HTMLAppletElement;;;;
area;Defines an area inside an image-map;-;-;Container;HTMLAreaElement;;;;
article;Defines an article;+;-;Container;HTMLElement;;;;
aside;Defines content aside from the page content;+;-;Container;HTMLElement;;;;
audio;Defines sound content;+;-;Container;HTMLAudioElement;;;;HTMLUnknownElement
b;Defines bold text;-;-;Container;HTMLElement;;;;HTMLCollection
base;Specifies the base URL/target for all relative URLs in a document;-;-;Container;HTMLBaseElement;;;;HTMLOptionsCollection
basefont;Not supported in HTML5. Use CSS instead.Specifies a default color, size, and font for all text in a document;-;+;Container;HTMLBaseFontElement;;;;HTMLFormControlsCollection
bdi;Isolates a part of text that might be formatted in a different direction from other text outside it;+;-;Container;HTMLElement;;;;HTMLDataElement
bdo;Overrides the current text direction;-;-;Container;HTMLElement;;;;HTMLIsIndexElement
big;Not supported in HTML5. Use CSS instead.Defines big text;-;+;Container;HTMLElement;;;;HTMLDocument
blockquote;Defines a section that is quoted from another source;-;-;Container;HTMLElement;;;;
br;Defines a single line break;-;-;Container;HTMLBRElement;;;;
button;Defines a clickable button;-;-;Container;HTMLButtonElement;;;;
canvas;Used to draw graphics, on the fly, via scripting (usually JavaScript);+;-;Container;HTMLCanvasElement;;;;
caption;Defines a table caption;-;-;Container;HTMLTableCaptionElement;;;;
center;Not supported in HTML5. Use CSS instead.Defines centered text;-;+;Container;HTMLElement;;;;
cite;Defines the title of a work;-;-;Container;HTMLElement;;;;
code;Defines a piece of computer code;-;-;Container;HTMLElement;;;;
col;Specifies column properties for each column within a colgroup element ;-;-;Container;HTMLTableColElement;;;;
colgroup;Specifies a group of one or more columns in a table for formatting;-;-;Container;HTMLTableColElement;;;;
datalist;Specifies a list of pre-defined options for input controls;+;-;Container;HTMLDataListElement;;;;
dd;Defines a description/value of a term in a description list;-;-;Container;HTMLElement;;;;
del;Defines text that has been deleted from a document;-;-;Container;HTMLModElement;;;;
details;Defines additional details that the user can view or hide;+;-;Container;HTMLElement;;;;
dfn;Defines a definition term;-;-;Container;HTMLElement;;;;
dialog;Defines a dialog box or window;+;-;Container;HTMLElement;;;;
dir;Not supported in HTML5. Use ul instead.Defines a directory list;-;+;Container;HTMLElement;;;;
div;Defines a section in a document;-;-;Container;HTMLDivElement;;;;
dl;Defines a description list;-;-;Container;HTMLDListElement;;;;
dt;Defines a term/name in a description list;-;-;Container;HTMLElement;;;;
em;Defines emphasized text ;-;-;Container;HTMLElement;;;;
embed;Defines a container for an external (non-HTML) application;+;-;Container;HTMLEmbedElement;;;;
fieldset;Groups related elements in a form;-;-;Container;HTMLFieldSetElement;;;;
figcaption;Defines a caption for a figure element;+;-;Container;HTMLElement;;;;
